playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,3AJwUDP919kvQ9QcozQPxg,Yellow,91,Parachutes,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,"['permanent wave', 'pop']",86,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,84,Enema Of The State,6FBDaR13swtiWwGhX1WQsP,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",75,0.434,0.897,0,-4.918,1,0.0488,0.0103,0,0.612,0.684,148.726,167067,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,3y4LxiYMgDl4RethdzpmNe,Breathe,69,Breathe,25NQNriVT2YbSW80ILRWJa,Faith Hill,"['contemporary country', 'country', 'country dawn', 'country road']",61,0.529,0.496,7,-9.007,1,0.029,0.173,0,0.251,0.278,136.859,250547,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,60a0Rd6pjrkxjPbaKzXjfq,In the End,88,Hybrid Theory (Bonus Edition),6XyY86QOPPrYVGvF9ch6wz,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",83,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,216880,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,74,No Strings Attached,6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,"['boy band', 'dance pop', 'pop']",65,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,5Mmk2ii6laakqfeCT7OnVD,Thong Song,73,Unleash The Dragon,6x9QLdzo6eBZxJ1bHsDkjg,Sisqo,"['contemporary r&b', 'dirty south rap', 'hip pop', 'r&b', 'urban contemporary']",56,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64E-05,0.07,0.714,121.549,253733,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,88,The Marshall Mathers LP,7dGJo4pcD2V6oG8kP0tJRR,Eminem,"['detroit hip hop', 'hip hop', 'rap']",88,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,284200,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,7oQSevUCbYs4QawXTHQVV1,Rock DJ,57,Sing When You're Winning,2HcwFjNelS49kFbfvMxQYw,Robbie Williams,"['dance rock', 'europop']",69,0.712,0.762,7,-4.307,1,0.0326,0.026,0,0.0981,0.842,103.032,260560,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,7H6ev70Weq6DdpZyyTmUXk,Say My Name,80,The Writing's On The Wall,1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",69,0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,271333,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,64BbK9SFKH2jk86U3dGj2P,Otherside,83,Californication (Deluxe Edition),0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",80,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373,4
